# T2.2 PUTARAN 2 - verifikasi relevansi. Isi HANYA kolom penilaian_manusia.,,
# Nilai yang sah: hipoglikemia | hiperglikemia | normal | lain,,
# Pertanyaannya: APA TOPIK UTAMA yang dibahas potongan teks ini?,,
# BUKAN: apakah potongan ini berguna bagi pasien tertentu.,,
# KEEMPAT kategori WAJIB dipertimbangkan pada tiap baris.,,
"# 'normal' = potongan membahas KELAS TARGET atau RENTANG AMAN, misalnya sasaran",,
"#            kontrol glikemik, target GDP, target HbA1c, atau pemantauan rutin.",,
"# 'lain'   = potongan tidak membahas ketiga kondisi itu, misalnya definisi diabetes,",,
"#            alat suntik, rumus laboratorium, atau gizi umum.",,
# Baca panduan lengkap: docs/PANDUAN_PENILAI_v2.md,,
# Jangan membahas isi lembar ini dengan penilai lain sampai keduanya selesai.,,
,,
id,penilaian_manusia,teks_potongan
11,hipoglikemi,"infus glukosa). Sedangkan hipoglikemia ringan dan sedang dijadikan satu dalam pembagiannya karena tidak berbeda dalam penanganannya dan hampir semua memerlukan penanganan dari orangtua atau pengasuh (Tabel 12).Hipoglikemia simptomatik terjadi bila anak atau orangtua menyadari, berespons, dan menangani hipoglikemia secara oral setelah mendeteksi kadar glukosa darah < 70 mg/ dL (4 mmol/L). Sedangkan hipoglikemia asimptomatik terjadi bila anak tidak menunjukkan gejala dan tanda hipoglikemia, walau kadar glukosa darah terdeteksi < 70 mg/ dL (4 mmol/L). Hal ini penting untuk diketahui sehubungan dengan mengenali kejadian hypoglikemia unawareness atau mengetahui kadar glukosa darah yang berisiko untuk terjadinya hypoglikemia unawareness.Pada anak sering gejala hipoglikemia dan respons hormonal fisiologis terjadi pada kadar glukosa darah lebih tinggi. Di masa pubertas atau remaja respons balik"
12,hiperglikemi,"di 575 RS Amerika melaporkan hiperglikemia (GD >180 mg/dL) terjadi pada 32% dari seluruh pasien perawatan intensif (ICU) dan non-ICU. Kebanyakan pasien dengan hiperglikemia telah berstatus DM, namun 12-30% pasien yang mengalami"
13,hiperglikemi,"hari Sore
hari Sebelum
berbuka 2 jam
setelah
berbuka Dengan
gejala* Risiko Sangat
Tinggi x x x x x x x Resiko Tinggi
x x x Resiko Sedang
/ Ringan x x *: dengan gejala hiperglikemia, hipoglikemia, atau merasa tidak sehat 9.2 PGDM Saat Melakukan Modifikasi Gaya Hidup Glukosa darah dapat dianalogikan sebagai sebuah resultante dari asupan makanan, kecepatan absorbsi di saluran cerna, serta mekanisme homeostasis glukosa, termasuk olah raga dan intervensi obat obatan, baik dalam keadaan normal maupun diabetes."
14,hipoglikemi,"penurunan GD yang terlalu cepat berisiko terhadap edema serebral, maka saat GD mencapai 250-300 mg/dL dapat dipertimbangkan pemberian dekstrosa 5% IV hingga pasien sadar penuh, walaupun mayoritas kasus SHH tidak membutuhkan teknik ini.4"
15,hiperglikemi,"69 kontinyu dengan penggunaan glucommander dan kertas standar. Pasien yang masuk dalam penelitian ini adalah mereka dengan riwayat DM dan GD >120 mg/dL pada ≥2 kali pemeriksaan atau tanpa riwayat DM dan GD 140 mg/dL pada ≥2 kali pemeriksaan. Kedua protokol menggunakan insulin glulisine dengan sasaran GD 80-120 mg/dL. Hasil menunjukkan glulisine memberikan efek penurunan GD sejak pemberian hari pertama dan mampu menjaga kestabilan GD pada kedua protokol. Glucommander memberikan hasil rerata GD yang lebih rendah (103±8.8 mg/dL vs. 117± 16.5 mg/dL, p<0.001), waktu yang lebih singkat dalam mencapai GD sasaran (4.8±2.8 jam vs.7.8± 9.1 jam, p<0.01), dan jumlah pasien yang memenuhi sasaran yang lebih besar (71.0±17.0% vs 51.3±19.7%, p<0.001) dibandingkan protokol kertas standar.20 Pengaruh Pemberian Nutrisi pada Insulin Infus Intravena Secara Kontinyu: Enteral (Kontinyu atau Bolus) dan"
16,hipoglikemi,Mungkin perlu infus glukosa bila anak tidak dapat minum atau makan. Berisiko ketoasidosis. Cek GD dan keton setiap jam
17,hiperglikemi,"Target kontrol gula darah untuk dewasa diabetes tipe 2 (non-hamil):
                
                Gula Darah Puasa (GDP):
                - Target: 80-130 mg/dL
                - Optimal: 90-110 mg/dL
                
                Gula Darah 2 jam Setelah Makan (GDPP):
                - Target: <180 mg/dL
                - Optimal: <140 mg/dL
                
                HbA1c (rata-rata 3 bulan):
                - Target umum: <7%
                - Target ketat (jika aman): <6.5%
                - Target longgar (lansia, komorbid): <8%
                
                Time in Range (jika pakai CGM):
                - >70% waktu dalam range 70-180 mg/dL
                - <4% waktu di bawah 70 mg/dL
                - <25% waktu di atas 180 mg/dL
                
                Kapan konsultasi dokter:
                - GDP sering >180 mg/dL"
18,hiperglikemi,"87 Penilaian dengan CGMS menunjukkan pada pukul 17.30-19.30, GD kelompok 3 (216±50 mg/dL; 76%) dan 2 (148±31 mg/dL; 20%) lebih besar secara signifikan dibandingkan kelompok 1 (123±18 mg/dL; p<0,0001), sedangkan pada pukul 07.30-09.30 dan 12.30–14.30 lebih besar namun tidak signifikan (p>0,05). Gula darah lebih tinggi 20% setelah makan siang dan makan malam karena glukosa mulai bergerak rerata 3 jam setelah administrasi prednisolone, sedangkan GD relatif lebih rendah pada pagi hari. Gula darah puncak pada kelompok 2 berada pada pukul 17.00 WIB dan kelompok 3 pukul 21.00.7 Hal ini didukung oleh penelitian lanjutan Burt et al. tahun 2015 yang menyebutkan dibandingkan dengan kelompok tanpa steroid, pasien dengan terapi steroid oral dosis tinggi memiliki GD puncak lebih tinggi signifikan pada pukul 17.00 (14,6±0,6 vs. 10,3±0,3 mmol/L; p<0,0,001) dan pukul 21.00 (14,5±0,6 vs. 10,5±0,3 mmol/L,"
19,hiperglikemi,"53 Manajemen Krisis Hiperglikemia Pilar penanganan krisis hiperglikemia mencakup lima hal, yaitu; (1) koreksi hiperglikemia, (2) identifikasi dan penanganan faktor presipitasi, (3) koreksi dehidrasi, (4) koreksi asam-basa, dan elektrolit, serta (5) pemantauan rutin untuk mencegah komplikasi.1 Berbeda dengan prinsip manajemen hiperglikemia pada penyakit kritis yang bertujuan menurunkan GD ke rentang sasaran (140-180 mg/dL), KAD/SHH bertujuan mengembalikan fungsi fisiologis tubuh secara gradual dan aman serta mengatasi penyebab yang mendasarinya dengan cara memperbaiki gangguan asam basa dan elektrolit (pada KAD), memperbaiki osmolalitas (pada SHH), dan memperbaiki kadar GD dengan sasaran awal 200 – 250 mg/dL. Insulin diberikan dengan tujuan mencegah terjadinya lipolisis lebih lanjut dengan kadar GD dijaga tidak terlalu rendah untuk mengurangi risiko hipoglikemia. Krisis hiperglikemia"
20,hipoglikemi,"Konsensus Nasional Pengelolaan Diabetes Melitus Tipe-1
72UKK Endokrinologi Anak dan Remaja, IDAI - 2015kronis (yang menyebabkan nilai ambang naik) atau hipoglikemia berulang (yang menyebabkan nilai ambang turun).TatalaksanaT ujuan tatalaksana hipoglikemia adalah mengembalikan kadar glukosa darah ke nilai normal (euglikemia) atau ke 100 mg/ dL (5,6 mmol/L). Tabel 12. Tatalaksana HipoglikemiaHipoglikemiaTatalaksanaPertimbangan lainnya"
21,hiperglikemi,"sasaran diturunkan menjadi 110 - 140 mg/dL. Sementara pada pasien dengan penyakit non-kritis, sasaran pasien serupa dengan pasien rawat jalan. Insulin diberikan via subkutan dengan sasaran GD sebelum"
22,hiperglikemi,"53berpuasa bagi yang sedang sakit, dan anak-anak. Namun sebagai seorang umat beragama Islam yang taat tidak sedikit diabetisi anak atau remaja juga ingin melaksanakan Rukun Islam ke-3 ini. Menurut penelitian EPIDIAR (Epidemiology of Diabetes and Ramadan) yang meneliti 12.243 pasien diabetes dari 13 negara Islam 42,8% pasien DM tipe-1dan 78,7% pasien DM tipe-2 berpuasa selama Ramadan.T ernyata berpuasa dapat pula dilakukan oleh anak atau remaja dengan diabetes. Namun tentu saja ada beberapa hal yang perlu diperhatikan dan diwaspadai. Risiko yang perlu diwaspadai bila diabetisi berpuasa adalah hipoglikemia, hiperglikemia dengan atau tanpa ketoasidosis, dan dehidrasi. Studi EPIDIAR menunjukkan risiko hiperglikemia berat meningkat 3 kali lipat pada pasien DM tipe-1 yang menjalani puasa Ramadan. Sedangkan risiko hipoglikemia berat meningkat sebesar 4,7 kali lipat pada pasien DM tipe-1 yang"
23,hipoglikemi,"Jika tidak ada gejala hipoglikemia dan tidak dalam terapi SU : •Mulai gliclazide 40 mg pagi, titrasi per hari sampai dosis maks 240 mg atau sasaran glikemik tercapai •Carilah nasihat spesialis jika anda khawatir tentang titrasi dosis pada mereka yang memakai 160 mg tanpa perbaikan dalam kendali glikemik •Jika menggunakan gliclazide dua kali sehari dan sasaran tidak tercapai, pertimbangkan rujukan ke perawatan spesialis untuk titrasi hingga 240 mg dosis pagi ditambah 80 mg malam
Insulin sekali sehari malam, transfer injeksi ke pagi : •Titrasi 10-20% setiap hari sesuai dengan bacaan GDK sebelum makan malam •Jika sasaran tidak tercapai pertimbangkan dua kali sehari, atau rejimen bolus basal"
24,hiperglikemi,".11 Berdasarkan penjelasan di atas, beberapa poin penting dalam menjaga luaran pasien KAD yaitu tidak menurunkan GD terlalu cepat (50-75 mg/dL/jam), memberikan makan seawal mungkin untuk menstimulasi insulin endogen, paparan insulin harus cukup lama dan adekuat untuk mengeliminasi badan keton, dan sangat penting untuk mencegah kondisi hipokalemia berat dalam rangka menurunkan angka mortalitas."
25,hiperglikemi,"standar 142,9 mg/dL. Sampai hari ke-30 insulin glulisine/glargine menunjukkan kadar GD yang lebih rendah dibandingkan dengan pasien dengan terapi standar.21 Penelitian Newton et al (2010) pada 153 pasien dewasa (77 pasien dengan glucommander; 76 pasien dengan kertas standar) yang masuk ke ruang intensif membandingkan keamanan dan efikasi insulin glulisine IV"
26,hiperglikemi,"Perkumpulan Endokrinologi Indonesia
31 Pedoman Petunjuk Praktis Terapi Insulin pada Pasien Diabetes Melitus - 2021 2. Pasien Dengan Riwayat DM x Lakukan cek glukosa darah 4 kali/hari, sebelum atau sesudah makan, dan sebelum tidur.
x Jika glukosa darah tetap > 216 mg/dL dalam 2 kali pemeriksaan dalam 24 jam, lakukan algoritma
terapi.72"
27,hiperglikemi,"Kapan konsultasi dokter:
                - GDP sering >180 mg/dL
                - Hipoglikemia >2x per minggu
                - HbA1c tidak mencapai target setelah 3 bulan
                - Gejala komplikasi (kebas, luka tidak sembuh, pandangan kabur)
                
                Referensi: ADA Standards of Care 2023, PERKENI 2021"
28,hiperglikemi,"sebelum tindakan atau sebelum tengah hari (lihat Tabel 10).Pada Tabel 10 diperlihatkan cara pemberian infus cairan dan insulin pada operasi anak dan remaja dengan diabetes.Tabel 10. Petunjuk Pemberian Cairan Infus pada Operasi Diabetisi.Infus cairan rumitanUntuk operasi besar dan semua operasi bila insulin kerja menengah sudah diberikan (NPH)Beri dekstrosa 5%; bila takut hipoglikemia berikan dekstrosa 10%. Bila glukosa darah tinggi >250 mg/dL gunakan setengah normal salin (NaCl 0,45%) tanpa dektrosa dan naikkan dosis insulin, tapi tambahkan dekstrosa 5% bila glukosa darah turun < 250 mg/dL.NatriumUntuk menghindari risiko hiponatremia maka digunakan cairan salin 0,45-0,9%. Cairan setengah salin diberikan dengan dekstrosa 5%. Monitor elektrolit dengan hati-hati dan ganti dengan NaCl 0,9% bila kadar Na turun.KaliumMonitor elektrolit. Setelah operasi, tambahkan KCl 20 mmol untuk tiap liter"
29,hiperglikemi,"kekurangan insulin terlebih dahulu sampai terbukti sebaliknya.• Monitor glukosa darah lebih sering, demikian pula keton darah atau urin.• Usahakan kadar glukosa darah antara 70-180 mg/dL (4-10 mmol/L) dan keton darah <0,6 mmol/L bila anak sakit."
30,hiperglikemi,"Konsensus Nasional Pengelolaan Diabetes Melitus Tipe-1
47>3BesarKeton lapar sangat tinggi. Cek glukometer. Cek ulang GD dan keton. Beri ekstra KH dan cairanKeton lapar sangat tinggi. Beri ekstra KH dan cairan. Beri ekstra 5% DTH atau 0,05 U/kg. Ulangi bila GD naikBeri ekstra KH dan cairan. Beri ekstra 10% DTH atau 0,1 U/kgBeri ekstra 10-20% DTH atau 0,1 U/kg. ulangi setelah 2 jam bila keton tidak berkurang."
31,lainnya,"membaik dan stabil, kecuali ada indikasi klinis absolut. Operasi elektif hanya dilakukan pada penderita diabetes yang terkontrol. Jika kontrol glukosa darah buruk, penderita sebaiknya dirawat di rumah sakit sebelum dilakukan operasi untuk menilai dan menstabilkan kontrol metabolik. Jika kadar glukosa"
32,hiperglikemi,"37 dengan ambang GD >200 mg/dL. Algoritma rejimen dosis insulin koreksional dalam hiperglikemia perioperatif disajikan pada tabel 2. Tabel 2. Dosis Insulin Koreksi pada Pasien Peri-operatif dengan Hiperglikemia Gula Darah mg/dl (mM) Sensitif Insulin* Usia >70th GFR <45ml/menit Tidak Ada Riwayat Diabetes Normal Insulin Resisten Insulin* IMT>35 kg/m2 TDH Insulin > 80 U > 20mg Pradnison per Hari 141-180 (7.7-10.0) 0 2 3 181-220 (10.0-12.2) 2 3 4 221-260 (12.2-14.4) 3 4 5 261-300 (14.4-16.6) 4 6 8 301-350 (16.6-19.4) 5 8 10 351-400(>22.2) 6 10 12 >400 (>22.2) 8 12 14 * Jika pasien termasuk dalam lebih dari satu kelompok pengobatan insulin, pilih kategori dengan correction dose terendah untuk meminimalkan risiko hipoglikemia.; IMT = indeks massa tubuh; GFR = glomerular filtration rate; TDH = total dosis harian Sebuah penelitian RCT multisenter dilakukan oleh Umpierrez et al. (2011) untuk"
33,hiperglikemi,sasaran glukosa darah 108 ˢ 180 mg/dL. 2. Berikan lagi edukasi DM kepada pasien. 3. Jika hiperglikemia pada pasien dengan terapi insulin:
34,hiperglikemi,"atau dihentikan, lanjutkan pemeriksaan GD jika GD >200 mg/dL dalam 24 jam dan pertimbangkan kembali terapi pada pasien tersebut. Sasaran glikemik pada akhir perawatan adalah 100-180 mg/dL (dapat diterima rentang 70-200 mg/dL) dan pada mereka angka harapan hidupnya rendah yaitu 100-250 mg/dL disertai perbaikan gejala.Sedangkan jika pasien diketahui memiliki diabetes, sasaran glikemik adalah 100-180 mg/dL dengan pengecekan GD sebanyak 4 kali per hari. Pasien DM tipe 1 juga diperiksa keton harian jika GD >200 mg/dL.14 Algoritma terapi pasien dengan terapi steroid yang memiliki diabetes dijelaskan lebih lanjut pada gambar 3."
35,hiperglikemi,"49 hiperglikemia lebih signifikan, hipernatremia (berlawanan dengan KAD yang cenderung hiponatremia) dan hiperosmolar.1,2 Pemeriksaan penunjang berupa data biokimia sangat diperlukan untuk diagnosis KAD dan SHH dan terangkum dalam Tabel 1. Tabel 1. Data biokimia saat admisi pada pasien dengan KAD atau SHH 1 Parameter HHS DKA Glukosa (mg/dl) 930 ± 83 616 ± 36 Na (mEq/l) 149 ± 3.2 134 ± 1.0 K (mEq/l) 3.9 ± 0.2 4.5 ± 0.13 BUN (mg/dl) 61 ± 11 32 ± 3 Kreatinin (mg/dl) 1.4 ± 0.1 1.1 ± 0.1 pH 7.3 ± 0.03 7.12 ± 0.04 Bikarbonat (mEq/l) 18 ± 1.1 9.4 ± 1.4 3--hidroksibutirat (mmol/l) 1.0 ± 0.2 9.1 ± 0.85 Total osmolalitas* 380 ± 5.7 323 ± 2.5 IRI (nmol/l) 0.08 ± 0.01 0.07 ± 0.01 C-peptide (nmol/l) 1.14 ± 0.1 0.21 ± 0.03 Free fatty acids (nmol/l) 1.5 ± 0.19 1.6 ± 0.16 Human growth hormone (ng/ml) 1.9 ± 0.2 6.1 ± 1.2 Cortisol (ng/ml) 570 ± 49 500 ± 61 IRI (nmol/l) † 0.27 ± 0.05 0.09 ± 0.01 C-peptide"
36,hiperglikemi,"prospektif telah dilakukan Umpierrez et al. (2007) pada 130 pasien (65 pasien dengan glargine dan glulisine; 65 pasien dengan protokol standar SSI) non-bedah dengan riwayat diabetes yang diketahui >3 bulan, usia 18-80 tahun dan masuk RS dengan GD antara 140-400 mg/dL. Insulin glargine diberikan sekali sehari dan glulisine sebelum makan dengan dosis awal 0,4 unit/kgBB/hari untuk GD 140-200 mg/dL dan 0,5 unit/kgBB/hari"
37,hiperglikemi,"[risiko hiperglikemia tinggi]). Inisiasi dosis koreksional juga disesuaikan dengan sarana dan prasarana, beberapa memulai insulin koreksional"
38,hiperglikemi,"hipoglikemia maupun hiperglikemia.17 Terdapat beberapa variasi sasaran GD pada pasien PGK. ADA (2018) merekomendasikan sasaran HbA1c <8,0% (dengan estimasi GD 183 mg/dL), sementara KDOQI 2012 merekomendasikan batas 7,0% untuk"
39,hiperglikemi,"Perkumpulan Endokrinologi Indonesia
19 Pedoman Pemantauan Glukosa Darah Mandiri - 2021 8. PGDM Pada Kehamilan Intensitas PGDM pada pasien diabetes dengan kehamilan (pre-gestasional diabetes) dan diabetes gestasional (DMG) dapat dikelompokkan ke dalam PGDM intensive/regular. PGDM pada DMG dianjurkan pada saat sebelum makan pagi (tanpa asupan kalori selama 8-10 jam) dan 1 jam atau 2 jam setelah makan. Pada diabetes dengan kehamilan, kadang-kadang diperlukan pemeriksaan glukosa darah pre-prandial.34,35 Pada diabetes dengan kehamilan dan diabetes gestasional, regimen praktis PGDM harus tetap disesuaikan secara individual.28"
40,hiperglikemi,"Jika GDK tetap di atas sasaran yang diinginkan sebelum makan malam: •Tingkatkan insulin 4 unit atau 10-20% •Tinjau harian •Jika tetap di atas sasaran, titrasi harian 10-20% hingga sasaran glikemik tercapai Gambar 3. Algoritma Terapi Pasien dengan Terapi Steroid yang Memiliki Diabetes14"
