# T2.2 — verifikasi relevansi. Isi HANYA kolom penilaian_manusia.
# Nilai yang sah: hipoglikemia | hiperglikemia | normal | lain
# Pertanyaannya: APA TOPIK UTAMA yang dibahas potongan ini?
# BUKAN: apakah potongan ini berguna bagi pasien pada kueri tersebut.
"# 'lain' dipakai bila potongan tidak membahas ketiga kondisi itu (mis. definisi diabetes, alat suntik, gizi umum)."
# Label otomatis SENGAJA tidak ditampilkan; ada di berkas KUNCI.

id,penilaian_manusia,kueri,sumber,halaman_cetak,peringkat,teks_potongan
11,,Kadar glukosa darah 126 mg/dL.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,4,1,Atau2. Kadar glukosa plasma puasa ≥ 126 mg/dL (7 mmol/L). Atau3. Kadar glukasa plasma ≥ 200 mg/ dL (11.1 mmol/L) pada jam ke-2 TTGO (Tes Tolerasansi Glukosa Oral). Atau4. HbA1c >6.5% (dengan standar NGSP dan DCCT)Pada penderita yang asimtomatis dengan peningkatan kadar glukosa plasma sewaktu (>200 mg/dL) harus dikonfirmasi dengan kadar glukosa plasma puasa atau dengan tes toleransi glukosa oral yang terganggu.
12,,Kadar glukosa darah 120 mg/dL.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,42,2,"Target Glukosa Darah Berdasarkan ISPAD dan IDFDerajat kontrolIdeal (non diabetik)OptimalSuboptimalRisiko tinggiGlukosa darah sebelum makan65-100 mg/dL (3,6-5,6 mmol/L)90-145 mg/dL (5-8 mmol/L) >145 mg/dL ( > 8 mmol/L)>162 mg/dL (> 9 mmol/L) Glukosa darah setelah makan80-126 mg/dL (4,5-7,0 mmol/L)90-180 mg/dL (5-10 mmol/L) 180-250 mg/dL (10-14 mmol/L)> 250 mg/dL (> 14 mmoL) Glukosa darah sebelum tidur80-100 mg/dL (4,0-5,6 mmol/L) 120-180 mg/dL (6,7-10 mmol/L)< 120 mg/dL atau 200 mg/dL (<6,7"
13,,Bagaimana tatalaksana pasien diabetes dengan hiperglikemia pada kadar glukosa 216 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,63,3,"<54 mg/dL agar menghentikan insulin hingga GD >81 mg/dL, 54-81 mg/dL agar menurunkan dosis insulin IV, 180-216 mg/dL menggunakan insulin IV 2 Unit/kgBB/jam, sementara >216 mg/dL agar menggunakan insulin 4 unit/jam.9 Protocol Sydney St George Hospital (2017) memulai pemberian insulin IV pada keadaan GD >180 mg/dL berdasarkan peniliaian dari dokter. Protokol ini juga menerapkan dosis dan monitoring yang disesuaikan dengan kadar GD pasien."
14,,Gula darah dalam rentang normal/target. Target kontrol glikemik dan pemantauan rutin diabetes.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,39,3,"Hipoglikemia awitan lambat dapat terjadi dalam interval 2 x 24 jam setelah latihan.Pemantauan MandiriT ujuan pemantauan mandiri pada pasien dengan DM tipe-1 adalah mencapai target kontrol glikemik yang optimal, menghindari komplikasi akut berupa hipoglikemia dan ketoasidosis dan komplikasi kronis yaitu penyakit makrovaskuler, menimalisasi akibat hipoglikemia dan hiperglikemia terhadap fungsi kognitif serta mengumpulkan data tentang kontrol glikemik untuk dibandingkan dengan sistem kesehatan"
15,,Kadar glukosa darah 70 mg/dL. Gula darah dalam rentang normal/target. Target kontrol glikemik dan pemantauan rutin diabetes.,KB-02_PERKENI-2021_Pemantauan-Glukosa-Mandiri.pdf,8,3,"x Mencatat hasil PGDM sesuai dengan format yang disepakati dalam bentuk buku maupun digital melalui aplikasi.* x Membawa/menunjukkan dan mendiskusikan hasil PGDM pada saat kontrol ke tenaga medis. 6.2 Menentukan Target Glukosa Darah Tabel 1. Target glukosa darah untuk penyandang DM32,33 Parameter Target Glukosa darah pre -prandial kapiler 80-130 mg/dL Glukosa darah 1-2 jam post -prandial kapiler <180 mg/dL Tabel 2."
16,,"Hiperglikemia, gula darah tinggi di atas 180 mg/dL. Penyebab, gejala, dan penanganan.",KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,1,4,"Penelitian retrospektif yang dilakukan oleh Umpierrez et al. (2002) pada 1886 pasien di Atlanta, Georgia menunjukkan bahwa sebanyak 718 (38%) pasien yang masuk RS memiliki kondisi hiperglikemia (gula darah puasa [GDP] ≥126 mg/dL atau gula darah sewaktu [GDS] ≥200 mg/dL pada ≥2 kali pemeriksaan)."
17,,Bagaimana tatalaksana pasien diabetes dengan hipoglikemia pada kadar glukosa 52 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,78,5,"51,19±15,3 mg/dL; koefisien variasi 32,73±6,52 vs. 28,91±7,77 mg/dL). Bahkan penelitian ini dihentikan lebih awal karena >50 % pasien dengan insulin premixed mengalami hipoglikemia (GD<70 mg/dL) selama perawatan, yaitu 25 pasien (64.1%) pada insulin premixed, sedangkan 8 pasien (24.2%) dengan pemberian insulin basal-bolus (p=0,001)12."
18,,Bagaimana tatalaksana pasien diabetes dengan hipoglikemia pada kadar glukosa 50 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,66,5,"66 mg/dL atau terdapat klinis hipoglikemia, insulin IV kontinyu dihentikan. Pada GD 100-140 mg/dL, dosis diturunkan sebesar 50% dari dosis terakhir. Pada GD 140-180 mg/dL, pasien dengan penurunan >60 mg/dL dosis diturunkan sebesar 25% dosis terakhir, dan penurunan GD ≤60 mg/dL dosis dilanjutkan seperti sebelumnya."
19,,"Hiperglikemia, gula darah tinggi di atas 180 mg/dL. Penyebab, gejala, dan penanganan.",KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,4,3,"(2003) pada 1826 pasien yang dirawat di ICU RS Stamford yang menunjukkan adanya peningkatan tingkat kematian sesuai dengan tingginya kadar gula darah pasien. Mortalitas paling rendah ditemukan pada kelompok pasien dengan GD antara 80-99 mg/dL (9,6%) dan mortalitas paling tinggi ditemukan pada kelompok pasien dengan GD >300 mg/dL (42,5%; p<0,001).8 Manajemen Hiperglikemia di Rumah Sakit Umpierrez et al."
20,,"Kadar glukosa darah 60 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,67,5,"67 Pada saat terjadi hipoglikemia (GD <70 mg/dL), insulin dihentikan dan pasien diberikan D40% sesuai dengan formula 321, yaitu 3 vial (75 mL D40%) jika GD <30 mg/dL, 2 vial (50 mL D40%) jika GD 30-60 mg/dL, dan 1 vial (25 mL D40%) jika GD 60-70 mg/dL. Selanjutnya GD dievaluasi setelah 15 menit hingga sasaran 100 mg/dL dan gejala hipoglikemia hilang. Jika GD masih <100 mg/dL, maka insulin drip dihentikan 6,16."
21,,Bagaimana tatalaksana pasien diabetes dengan hipoglikemia pada kadar glukosa 44 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,59,2,"Pemantauan kalium harus dilakukan setiap 2 jam pada pasien yang mendapat bikarbonat.2,4,9 Setelah memberikan tatalaksana pada pasien KAD, resolusi dapat dilihat melalui beberapa parameter, yaitu perbaikan gejala klinis, GD <200 mg/dL, kadar bikarbonat >18 mEq/L, gap anion ≤12 mEq/L, dan badan keton negatif.4 Selama melaksanakan tatalaksana KAD, tentu tidak jarang dijumpai beberapa permasalahan, seperti hipoglikemia dengan atau tanpa hipokalemia pada pemberian insulin, asidosis hiperkloremia"
22,,Kadar glukosa darah 70 mg/dL. Gula darah dalam rentang normal/target. Target kontrol glikemik dan pemantauan rutin diabetes.,KB-02_PERKENI-2021_Pemantauan-Glukosa-Mandiri.pdf,8,5,Target glukosa darah untuk penyandang DM dengan kehamilan34 Parameter Target Glukosa darah puasa* kapiler <95 mg/dL Glukosa darah 1 jam post -prandial kapiler <140 mg/dL Glukosa darah 2 jam post -prandial kapiler <120 mg/dL
23,,"Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-01_IDAI-2015_Konsensus-DMT1.pdf,70,3,"Kadar ini juga direkomendasikan sebagai target glukosa darah terendah dalam terapi anak dengan diabetes agar hipoglikemia dapat dihindari.Gejala dan tandaManifestasi klinis hipoglikemia terjadi akibat aktivasi otonom (gejala adrenergik) dan/atau disfungsi neurologis, karena turunnya kadar glukosa di otak (gejala neuroglikopenia) seperti terlihat di Tabel 11. Bila gula darah turun gejala yang mulai timbul adalah gemetar, lemah, lapar, dan berkeringat sebagai akibat aktivasi sistem saraf otonom."
24,,Kadar glukosa darah 70 mg/dL. Gula darah dalam rentang normal/target. Target kontrol glikemik dan pemantauan rutin diabetes.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,40,2,"Pemantauan kontrol glikemik dilakukan dengan melakukan pemantauan glukosa darah mandiri, HbA1c, keton, dan pemantauan glukosa darah berkelanjutan. Pemantauan glukosa darah mandiri• Pemantauan glukosa darah mandiri memungkinkan pasien untuk melakukan penyesuaian insulin terhadap makanan yang dikonsumsi menjadi lebih baik dan memungkinkan pasien DM untuk mengkoreksi kadar glukosa darah yang berada diluar target sehingga dapat memperbaiki kadar HbA1c."
25,,Bagaimana tatalaksana pasien diabetes dengan hiperglikemia pada kadar glukosa 219 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,36,5,"Sedangkan pada pasien dengan kendali glikemik buruk, diberikan insulin IV sesuai protokol dengan pemantauan GD setiap 1-4 jam. Dosis koreksional dapat digunakan pada hiperglikemia dengan kadar GD yang tidak terlalu tinggi selama dipuasakan (GD 180-250 mg/dL).1,4 e. Dosis koreksional insulin Metode dosis koreksi murni (SSI, sliding scale insulin) digunakan pada hiperglikemia dengan kadar yang tidak terlalu tinggi saat dipuasakan (180-250 mg/dL)."
26,,Kadar glukosa darah 216 mg/dL.,KB-03_PERKENI-2021_Terapi-Insulin.pdf,25,5,"3. Glukosa darah puasa terganggu atau toleransi glukosa terganggu, HbA1c >7%. 4. Pasien yang sebelumnya mengalami hiperglikemia dengan terapi steroid. B. SASARAN GLUKOSA DARAH PASIEN DM DENGAN PEMAKAIAN STEROID Menurut JBDS (Joint British Diabetes Societies) 2014, sasaran glukosa darah pada pasien rawat inap adalah 108 ї 180 mg/dL dengan range antara 72 ї 216 mg/dL. Pasien-pasien tertentu tidak membutuhkan kontrol ketat dan yang mengalami disabilitas karena hipoglikemia seperti72 : 1."
27,,Kadar glukosa darah 70 mg/dL.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,51,4,T urunkan kecepatan infus insulin.Infus insulin boleh dihentikan sementara bila kadar glukosa darah <70 mg/dL (4 mmol/L) tapi tidak lebih dari 10-15 menit.
28,,"Kadar glukosa darah 44 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-01_IDAI-2015_Konsensus-DMT1.pdf,70,4,"Kadar glukosa darah <60-70 mg/dL (3,3-4 mmol/L) dianggap dapat berisiko hipoglikemia berat pada seseorang. Pada kadar ini terjadi peningkatan respons hormonal counterregulation untuk menaikkan kadar glukosa darah. Kadar glukosa darah <70 mg/dL (4 mmol/L) direkomendasikan untuk digunakan sebagai nilai batasan untuk mengidentifikasi dan memulai tatalaksana hipoglikemia pada anak dengan diabetes."
29,,"Kadar glukosa darah 44 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-01_IDAI-2015_Konsensus-DMT1.pdf,55,1,"Pemantauan glukosa darah secara teratur sebaiknya terus dilakukan.• Bila kadar glukosa darah tinggi (> 250 mg/dL atau 14 mmol/L) keton urin sebaiknya diperiksa.6. Batalkan puasa bila:• Kadar glukosa darah <70 mg/dL (4 mmol/L) atau mengalami gejala dan tanda hipoglikemia.• Kadar glukosa darah >300 mg/dL (16,6 mmol/L) atau bila > 250 mg/dL (14 mmol/L) dengan keton positif.• Sedang sakit.Regimen insulin perlu disesuaikan selama bulan puasa Ramadan untuk menjaga kontrol metabolik yang baik."
30,,"Kadar glukosa darah 219 mg/dL. Hiperglikemia, gula darah tinggi di atas 180 mg/dL. Penyebab, gejala, dan penanganan.",KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,62,5,"Tentukan sasaran glukosa darah Pasien dikatakan hiperglikemia jika GD ≥140 mg/dL dan hipoglikemia jika GD <70 mg/dL, Indikasi pemberian insulin IV jika terjadi hiperglikemia persisten >180 mg/dL dengan sasaran GD pasien di ICU sebesar 140-180 mg/dL. Pada prinsipnya, pemberian obat anti diabetes (OAD) dan insulin SC tidak direkomendasikan di ICU dengan keadaan pasien yang tidak stabil. Pasien dengan penyakit kritis harus mendapat terapi insulin IV."
31,,Kadar glukosa darah 50 mg/dL.,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,56,4,"Pengaturan Drip Insulin Berdasarkan Perubahan Kadar Gula Darah per Jam4 Perubahan GD per jam Tindakan GD ­ Rebolus 0,1 unit/kgBB dan gandakan (double) kecepatan drip insulin GD ¯ 0-49 mg/dL Tingkatkan drip insulin 25 – 50% GD ¯ 50-75 mg/dL Pertahankan drip Insulin GD ¯ >75 mg/dL Turunkan drip insulin 50% laju sebelumnya ­, peningkatan; ¯, penurunan; GD, gula darah"
32,,Bagaimana tatalaksana pasien diabetes dengan glukosa dalam rentang target pada kadar glukosa 106 mg/dL?,KB-03_PERKENI-2021_Terapi-Insulin.pdf,33,3,"Sebelum makan: 100 ї 140 mg/dL b. Acak: < 180 mg/dL. C. KEBUTUHAN INSULIN PADA PASIEN RAWAT INAP Dalam keadaan yang memerlukan regulasi glukosa darah yang relatif cepat dan tepat, insulin adalah yang terbaik karena kerjanya cepat dan dosisnya dapat disesuaikan dengan hasil kadar glukosa darah."
33,,Kadar glukosa darah 120 mg/dL. Gula darah dalam rentang normal/target. Target kontrol glikemik dan pemantauan rutin diabetes.,KB-02_PERKENI-2021_Pemantauan-Glukosa-Mandiri.pdf,9,5,"Target Glukosa Darah Untuk Penyandang Diabetes Melitus Gestational (Dmg)35 Parameter Target Glukosa darah puasa* kapiler <95 mg/dL Glukosa darah 1 jam post -prandial kapiler <140 mg/dL Glukosa darah 2 jam post -prandial kapiler <120 mg/dL * Contoh aplikasi: Teman Diabetes, DM Nutri Assist, Rightest CARE, dll Keterangan: *Puasa adalah tidak ada asupan kalori 8-10 jam pada malam hari sebelumnya 6.3 Menentukan Intensitas PGDM Intensitas PGDM ditentukan berdasarkan terapi yang diberikan sesuai"
34,,"Kadar glukosa darah 216 mg/dL. Hiperglikemia, gula darah tinggi di atas 180 mg/dL. Penyebab, gejala, dan penanganan.",KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,10,4,"10 mg/dL pada beberapa kondisi, misalnya pasien dengan gangguan kesadaran dan gejala hipoglikemia (Tabel 2).17 Tabel 2. Estimasi Dosis Insulin Koreksi berdasarkan Kadar Gula Darah Pasien17 GD (mg/dL) Dosis insulin koreksi 150 3 unit 150-200 6 unit 201-250 9 unit >300 12 unit Telah disebutkan sebelumnya bahwa pada penyakit kritis, insulin secara IV merupakan rekomendasi dalam penanganan hiperglikemia."
35,,Kadar glukosa darah 106 mg/dL. Gula darah dalam rentang target.,KB-01_IDAI-2015_Konsensus-DMT1.pdf,27,4,"Angka 1800 atau 1500 dibagi dengan insulin total harian hasilnya dalam mg/dL, artinya 1 unit insulin akan menurunkan kadar glukosa darah sebesar hasil pembagian tersebut dalam mg/dL."
36,,"Kadar glukosa darah 44 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-01_IDAI-2015_Konsensus-DMT1.pdf,71,3,"Sedangkan hipoglikemia asimptomatik terjadi bila anak tidak menunjukkan gejala dan tanda hipoglikemia, walau kadar glukosa darah terdeteksi < 70 mg/ dL (4 mmol/L). Hal ini penting untuk diketahui sehubungan dengan mengenali kejadian hypoglikemia unawareness atau mengetahui kadar glukosa darah yang berisiko untuk terjadinya hypoglikemia unawareness.Pada anak sering gejala hipoglikemia dan respons hormonal fisiologis terjadi pada kadar glukosa darah lebih tinggi."
37,,Bagaimana tatalaksana pasien diabetes dengan hiperglikemia pada kadar glukosa 219 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,91,4,"Jika kadar GD awal <200 mg/dL, ulangi pemeriksaan. Jika pemeriksaan GD kapiler selanjutnya ≥200 mg/dL, frekuensi pemeriksaan harus ditingkatkan menjadi 4 kali sehari yaitu sebelum makan dan sebelum tidur. Jika GD kapiler ditemukan tetap >200 mg/dL pada dua pemeriksaan selama 24 jam,12 maka pasien diterapi sesuai dengan algoritma terapi hiperglikemia pada pasien yang mendapat terapi steroid (Gambar 2). Gambar 1. Algoritma Kendali Glukosa Darah pada Pasien DM yang Diinduksi Steroid13"
38,,Bagaimana tatalaksana pasien diabetes dengan hipoglikemia pada kadar glukosa 58 mg/dL?,KB-04_PERKENI-2023_Tatalaksana-Hiperglikemia-RS.pdf,58,4,"58 rerata GD harian (185±58 mg/dL vs. 153±61 mg/dL), tetapi pasien yang diterapi dengan NPH dan insulin reguler memiliki kejadian hipoglikemia (GD <70 mg/dl), 41% pada kelompok NPH/insulin reguler dan 15% pada kelompok glargine/glulisine (p<0,03).10 Selain terapi insulin, kalium juga menjadi salah satu fokus dalam manajemen KAD/SHH. Gangguan elektrolit terutama kalium sering ditemui pada krisis hiperglikemia."
39,,"Kadar glukosa darah 44 mg/dL. Hipoglikemia, gula darah rendah di bawah 70 mg/dL. Penyebab, gejala, dan penanganan segera (aturan 15-15).",KB-01_IDAI-2015_Konsensus-DMT1.pdf,51,2,"0,05 ml/kg/jam bila glukosa darah 140-220 mg/dL (8-12 mmol/L); 0,075 ml/kg/jam bila glukosa darah 220-270 mg/dL (12-15 mmol/L) dan 0,1 U/kg/jam bila glukosa darah >270 mg/dL (15 mmol/L).T ujuannya agar menjaga kadar glukosa darah antara 90-180 mg/dL dengan menyesuaikan kecepatan drip insulin setiap jamMonitor gula darah setiap jam bila pasien dengan insulin dripJangan hentikan infus insulin bila glukosa darah < 90 mg/dL (5 mmol/L) karena akan menyebabkan rebound hyperglycemia."
40,,"Kadar glukosa darah 216 mg/dL. Hiperglikemia, gula darah tinggi di atas 180 mg/dL. Penyebab, gejala, dan penanganan.",KB-03_PERKENI-2021_Terapi-Insulin.pdf,30,3,"Jika glukosa darah < 216 mg/dL lanjutkan cek glukosa darah
1 kali/hari sebelum atau sesudah makan siang atau makan malam.
x Jika hasil glu kosa darah selanjutnya > 216 mg/dL, naikkan frekuensi cek glukosa darah menjadi
4 kali/hari, sebelum makan dan sebelum tidur.
x Jika glukosa darah tetap > 216 mg/dL dalam 2 kali pemeriksaan dalam 24 jam, lakukan algoritma
terapi."
